"","Quarter","Region","State","Purpose","Trips"
"1555",2006-07-01,"Australia's North West","Western Australia","Business",85.876352
"1556",2006-10-01,"Australia's North West","Western Australia","Business",60.425536
"1557",2007-01-01,"Australia's North West","Western Australia","Business",41.9639691
"1558",2007-04-01,"Australia's North West","Western Australia","Business",55.2924974
"1559",2007-07-01,"Australia's North West","Western Australia","Business",75.3319645
"1560",2007-10-01,"Australia's North West","Western Australia","Business",65.38837
"1561",2008-01-01,"Australia's North West","Western Australia","Business",44.6496188
"1562",2008-04-01,"Australia's North West","Western Australia","Business",73.3841935
"1563",2008-07-01,"Australia's North West","Western Australia","Business",66.4364844
"1564",2008-10-01,"Australia's North West","Western Australia","Business",51.887045
"1565",2009-01-01,"Australia's North West","Western Australia","Business",61.646099
"1566",2009-04-01,"Australia's North West","Western Australia","Business",45.3796095
"1567",2009-07-01,"Australia's North West","Western Australia","Business",69.072861
"1568",2009-10-01,"Australia's North West","Western Australia","Business",52.2543811
"1569",2010-01-01,"Australia's North West","Western Australia","Business",52.166776
"1570",2010-04-01,"Australia's North West","Western Australia","Business",53.6760783
"1571",2010-07-01,"Australia's North West","Western Australia","Business",76.0866346
"1572",2010-10-01,"Australia's North West","Western Australia","Business",58.9186072
"1573",2011-01-01,"Australia's North West","Western Australia","Business",29.5896541
"1574",2011-04-01,"Australia's North West","Western Australia","Business",65.7644596
"1575",2011-07-01,"Australia's North West","Western Australia","Business",56.5560812
"1576",2011-10-01,"Australia's North West","Western Australia","Business",92.919339
"1577",2012-01-01,"Australia's North West","Western Australia","Business",59.9947311
"1578",2012-04-01,"Australia's North West","Western Australia","Business",105.1280482
"1579",2012-07-01,"Australia's North West","Western Australia","Business",74.3457392
"1580",2012-10-01,"Australia's North West","Western Australia","Business",96.476838
"1581",2013-01-01,"Australia's North West","Western Australia","Business",61.5702084
"1582",2013-04-01,"Australia's North West","Western Australia","Business",122.5466351
"1583",2013-07-01,"Australia's North West","Western Australia","Business",128.2052567
"1584",2013-10-01,"Australia's North West","Western Australia","Business",79.9922142
"1585",2014-01-01,"Australia's North West","Western Australia","Business",192.9109602
"1586",2014-04-01,"Australia's North West","Western Australia","Business",181.5386646
"1587",2014-07-01,"Australia's North West","Western Australia","Business",190.8409934
"1588",2014-10-01,"Australia's North West","Western Australia","Business",240.9031243
"1589",2015-01-01,"Australia's North West","Western Australia","Business",192.2688529
"1590",2015-04-01,"Australia's North West","Western Australia","Business",254.0455866
"1591",2015-07-01,"Australia's North West","Western Australia","Business",249.321058
"1592",2015-10-01,"Australia's North West","Western Australia","Business",291.6541781
"1593",2016-01-01,"Australia's North West","Western Australia","Business",171.2906706
"1594",2016-04-01,"Australia's North West","Western Australia","Business",208.5927617
"1595",2016-07-01,"Australia's North West","Western Australia","Business",296.80234
"1596",2016-10-01,"Australia's North West","Western Australia","Business",240.3941974
"1597",1998-01-01,"Australia's North West","Western Australia","Holiday",54.0893435
"1598",1998-04-01,"Australia's North West","Western Australia","Holiday",68.4940569
"1599",1998-07-01,"Australia's North West","Western Australia","Holiday",100.7228595
"1600",1998-10-01,"Australia's North West","Western Australia","Holiday",86.2648515
"1601",1999-01-01,"Australia's North West","Western Australia","Holiday",52.8519776
"1602",1999-04-01,"Australia's North West","Western Australia","Holiday",95.9357344
"1603",1999-07-01,"Australia's North West","Western Australia","Holiday",138.2289555
"1604",1999-10-01,"Australia's North West","Western Australia","Holiday",49.5378775
"1605",2000-01-01,"Australia's North West","Western Australia","Holiday",37.8861076
"1606",2000-04-01,"Australia's North West","Western Australia","Holiday",33.4286227
"1607",2000-07-01,"Australia's North West","Western Australia","Holiday",69.7581666
"1608",2000-10-01,"Australia's North West","Western Australia","Holiday",45.6488654
"1609",2001-01-01,"Australia's North West","Western Australia","Holiday",37.1880607
"1610",2001-04-01,"Australia's North West","Western Australia","Holiday",72.7032613
"1611",2001-07-01,"Australia's North West","Western Australia","Holiday",91.05979
"1612",2001-10-01,"Australia's North West","Western Australia","Holiday",51.8330307
"1613",2002-01-01,"Australia's North West","Western Australia","Holiday",20.8028051
"1614",2002-04-01,"Australia's North West","Western Australia","Holiday",33.3624468
"1615",2002-07-01,"Australia's North West","Western Australia","Holiday",81.2865917
"1616",2002-10-01,"Australia's North West","Western Australia","Holiday",48.4613627
"1617",2003-01-01,"Australia's North West","Western Australia","Holiday",16.1278869
"1618",2003-04-01,"Australia's North West","Western Australia","Holiday",53.2084025
"1619",2003-07-01,"Australia's North West","Western Australia","Holiday",62.7122478
"1620",2003-10-01,"Australia's North West","Western Australia","Holiday",37.3420989
"1621",2004-01-01,"Australia's North West","Western Australia","Holiday",29.829291
"1622",2004-04-01,"Australia's North West","Western Australia","Holiday",34.764692
"1623",2004-07-01,"Australia's North West","Western Australia","Holiday",89.675711
"1624",2004-10-01,"Australia's North West","Western Australia","Holiday",42.5634475
"1625",2005-01-01,"Australia's North West","Western Australia","Holiday",29.0806147
"1626",2005-04-01,"Australia's North West","Western Australia","Holiday",47.0367258
"1627",2005-07-01,"Australia's North West","Western Australia","Holiday",75.5993048
"1628",2005-10-01,"Australia's North West","Western Australia","Holiday",42.9227973
"1629",2006-01-01,"Australia's North West","Western Australia","Holiday",42.718918
"1630",2006-04-01,"Australia's North West","Western Australia","Holiday",67.061747
"1631",2006-07-01,"Australia's North West","Western Australia","Holiday",103.038409
"1632",2006-10-01,"Australia's North West","Western Australia","Holiday",46.395171
"1633",2007-01-01,"Australia's North West","Western Australia","Holiday",32.1755284
"1634",2007-04-01,"Australia's North West","Western Australia","Holiday",54.1302389
"1635",2007-07-01,"Australia's North West","Western Australia","Holiday",81.4224951
"1636",2007-10-01,"Australia's North West","Western Australia","Holiday",37.4077555
"1637",2008-01-01,"Australia's North West","Western Australia","Holiday",30.3627387
"1638",2008-04-01,"Australia's North West","Western Australia","Holiday",41.0952004
"1639",2008-07-01,"Australia's North West","Western Australia","Holiday",77.2446609
"1640",2008-10-01,"Australia's North West","Western Australia","Holiday",25.9780434
"1641",2009-01-01,"Australia's North West","Western Australia","Holiday",11.4126585
"1642",2009-04-01,"Australia's North West","Western Australia","Holiday",53.0337792
"1643",2009-07-01,"Australia's North West","Western Australia","Holiday",72.6435276
"1644",2009-10-01,"Australia's North West","Western Australia","Holiday",32.9719651
"1645",2010-01-01,"Australia's North West","Western Australia","Holiday",20.6513977
"1646",2010-04-01,"Australia's North West","Western Australia","Holiday",49.4276781
"1647",2010-07-01,"Australia's North West","Western Australia","Holiday",82.9034756
"1648",2010-10-01,"Australia's North West","Western Australia","Holiday",24.0438082
"1649",2011-01-01,"Australia's North West","Western Australia","Holiday",15.9052185
"1650",2011-04-01,"Australia's North West","Western Australia","Holiday",42.4807186
"1651",2011-07-01,"Australia's North West","Western Australia","Holiday",79.5791252
"1652",2011-10-01,"Australia's North West","Western Australia","Holiday",36.4092631
"1653",2012-01-01,"Australia's North West","Western Australia","Holiday",14.2704904
"1654",2012-04-01,"Australia's North West","Western Australia","Holiday",57.143527
"1655",2012-07-01,"Australia's North West","Western Australia","Holiday",93.932683
"1656",2012-10-01,"Australia's North West","Western Australia","Holiday",31.0083761
"1657",2013-01-01,"Australia's North West","Western Australia","Holiday",16.4406252
"1658",2013-04-01,"Australia's North West","Western Australia","Holiday",21.1465322
"1659",2013-07-01,"Australia's North West","Western Australia","Holiday",75.5949089
"1660",2013-10-01,"Australia's North West","Western Australia","Holiday",24.4305336
"1661",2014-01-01,"Australia's North West","Western Australia","Holiday",38.5820594
"1662",2014-04-01,"Australia's North West","Western Australia","Holiday",79.178468
"1663",2014-07-01,"Australia's North West","Western Australia","Holiday",64.8188509
"1664",2014-10-01,"Australia's North West","Western Australia","Holiday",31.5531287
"1665",2015-01-01,"Australia's North West","Western Australia","Holiday",16.9984144
"1666",2015-04-01,"Australia's North West","Western Australia","Holiday",51.9339803
"1667",2015-07-01,"Australia's North West","Western Australia","Holiday",96.703591
"1668",2015-10-01,"Australia's North West","Western Australia","Holiday",30.1409718
"1669",2016-01-01,"Australia's North West","Western Australia","Holiday",17.0980331
"1670",2016-04-01,"Australia's North West","Western Australia","Holiday",53.8100234
"1671",2016-07-01,"Australia's North West","Western Australia","Holiday",103.6958107
"1672",2016-10-01,"Australia's North West","Western Australia","Holiday",50.9344355
"1673",1998-01-01,"Australia's North West","Western Australia","Other",0.7126621
"1674",1998-04-01,"Australia's North West","Western Australia","Other",4.5401952
"1675",1998-07-01,"Australia's North West","Western Australia","Other",0
"1676",1998-10-01,"Australia's North West","Western Australia","Other",0.6168038
"1677",1999-01-01,"Australia's North West","Western Australia","Other",0
"1678",1999-04-01,"Australia's North West","Western Australia","Other",15.0684568
"1679",1999-07-01,"Australia's North West","Western Australia","Other",1.294125
"1680",1999-10-01,"Australia's North West","Western Australia","Other",0
"1681",2000-01-01,"Australia's North West","Western Australia","Other",0.5333772
"1682",2000-04-01,"Australia's North West","Western Australia","Other",6.1108071
"1683",2000-07-01,"Australia's North West","Western Australia","Other",3.299912
"1684",2000-10-01,"Australia's North West","Western Australia","Other",0.5056466
"1685",2001-01-01,"Australia's North West","Western Australia","Other",2.8753774
"1686",2001-04-01,"Australia's North West","Western Australia","Other",0.7223215
"1687",2001-07-01,"Australia's North West","Western Australia","Other",0.6165059
"1688",2001-10-01,"Australia's North West","Western Australia","Other",4.6259099
"1689",2002-01-01,"Australia's North West","Western Australia","Other",1.6748049
"1690",2002-04-01,"Australia's North West","Western Australia","Other",1.8227848
"1691",2002-07-01,"Australia's North West","Western Australia","Other",8.0526157
"1692",2002-10-01,"Australia's North West","Western Australia","Other",12.2424057
"1693",2003-01-01,"Australia's North West","Western Australia","Other",2.6698941
"1694",2003-04-01,"Australia's North West","Western Australia","Other",0.9125508
"1695",2003-07-01,"Australia's North West","Western Australia","Other",0.4891942
"1696",2003-10-01,"Australia's North West","Western Australia","Other",2.8463874
"1697",2004-01-01,"Australia's North West","Western Australia","Other",5.0550539
"1698",2004-04-01,"Australia's North West","Western Australia","Other",0
"1699",2004-07-01,"Australia's North West","Western Australia","Other",7.5134943
"1700",2004-10-01,"Australia's North West","Western Australia","Other",6.2195324
"1701",2005-01-01,"Australia's North West","Western Australia","Other",3.4370423
"1702",2005-04-01,"Australia's North West","Western Australia","Other",8.1162196
"1703",2005-07-01,"Australia's North West","Western Australia","Other",3.1117133
"1704",2005-10-01,"Australia's North West","Western Australia","Other",2.9053157
"1705",2006-01-01,"Australia's North West","Western Australia","Other",3.13482
"1706",2006-04-01,"Australia's North West","Western Australia","Other",5.594366
"1707",2006-07-01,"Australia's North West","Western Australia","Other",4.40537
"1708",2006-10-01,"Australia's North West","Western Australia","Other",7.428478
"1709",2007-01-01,"Australia's North West","Western Australia","Other",4.8203667
"1710",2007-04-01,"Australia's North West","Western Australia","Other",2.823885
"1711",2007-07-01,"Australia's North West","Western Australia","Other",0
"1712",2007-10-01,"Australia's North West","Western Australia","Other",2.0815596
"1713",2008-01-01,"Australia's North West","Western Australia","Other",0.3007498
"1714",2008-04-01,"Australia's North West","Western Australia","Other",3.1690739
"1715",2008-07-01,"Australia's North West","Western Australia","Other",1.5476354
"1716",2008-10-01,"Australia's North West","Western Australia","Other",0.6701125
"1717",2009-01-01,"Australia's North West","Western Australia","Other",4.0772385
"1718",2009-04-01,"Australia's North West","Western Australia","Other",10.7091621
"1719",2009-07-01,"Australia's North West","Western Australia","Other",2.0113156
"1720",2009-10-01,"Australia's North West","Western Australia","Other",1.1005865
"1721",2010-01-01,"Australia's North West","Western Australia","Other",0
"1722",2010-04-01,"Australia's North West","Western Australia","Other",2.0065658
"1723",2010-07-01,"Australia's North West","Western Australia","Other",1.1314026
"1724",2010-10-01,"Australia's North West","Western Australia","Other",0
"1725",2011-01-01,"Australia's North West","Western Australia","Other",2.7394102
"1726",2011-04-01,"Australia's North West","Western Australia","Other",0
"1727",2011-07-01,"Australia's North West","Western Australia","Other",1.9587377
"1728",2011-10-01,"Australia's North West","Western Australia","Other",0.9036081
"1729",2012-01-01,"Australia's North West","Western Australia","Other",0
"1730",2012-04-01,"Australia's North West","Western Australia","Other",1.8667651
"1731",2012-07-01,"Australia's North West","Western Australia","Other",0
"1732",2012-10-01,"Australia's North West","Western Australia","Other",1.1202567
"1733",2013-01-01,"Australia's North West","Western Australia","Other",0
"1734",2013-04-01,"Australia's North West","Western Australia","Other",1.9897093
"1735",2013-07-01,"Australia's North West","Western Australia","Other",3.9807025
"1736",2013-10-01,"Australia's North West","Western Australia","Other",2.263314
"1737",2014-01-01,"Australia's North West","Western Australia","Other",3.2124021
"1738",2014-04-01,"Australia's North West","Western Australia","Other",3.2750083
"1739",2014-07-01,"Australia's North West","Western Australia","Other",0
"1740",2014-10-01,"Australia's North West","Western Australia","Other",5.1526325
"1741",2015-01-01,"Australia's North West","Western Australia","Other",2.986076
"1742",2015-04-01,"Australia's North West","Western Australia","Other",0
"1743",2015-07-01,"Australia's North West","Western Australia","Other",0.1360482
"1744",2015-10-01,"Australia's North West","Western Australia","Other",1.4533245
"1745",2016-01-01,"Australia's North West","Western Australia","Other",0.2128028
"1746",2016-04-01,"Australia's North West","Western Australia","Other",1.4841813
"1747",2016-07-01,"Australia's North West","Western Australia","Other",1.4815719
"1748",2016-10-01,"Australia's North West","Western Australia","Other",4.8802061
"1749",1998-01-01,"Australia's North West","Western Australia","Visiting",14.8360696
"1750",1998-04-01,"Australia's North West","Western Australia","Visiting",18.992085
"1751",1998-07-01,"Australia's North West","Western Australia","Visiting",21.6768249
"1752",1998-10-01,"Australia's North West","Western Australia","Visiting",17.9860513
"1753",1999-01-01,"Australia's North West","Western Australia","Visiting",7.4753134
"1754",1999-04-01,"Australia's North West","Western Australia","Visiting",52.6339432
"1755",1999-07-01,"Australia's North West","Western Australia","Visiting",33.2173456
"1756",1999-10-01,"Australia's North West","Western Australia","Visiting",5.8504414
"1757",2000-01-01,"Australia's North West","Western Australia","Visiting",2.2844809
"1758",2000-04-01,"Australia's North West","Western Australia","Visiting",18.295545
"1759",2000-07-01,"Australia's North West","Western Australia","Visiting",8.1760906
"1760",2000-10-01,"Australia's North West","Western Australia","Visiting",14.0453453
"1761",2001-01-01,"Australia's North West","Western Australia","Visiting",8.1289924
"1762",2001-04-01,"Australia's North West","Western Australia","Visiting",21.535612
"1763",2001-07-01,"Australia's North West","Western Australia","Visiting",10.2084481
"1764",2001-10-01,"Australia's North West","Western Australia","Visiting",9.515222
"1765",2002-01-01,"Australia's North West","Western Australia","Visiting",9.0142963
"1766",2002-04-01,"Australia's North West","Western Australia","Visiting",11.7312896
"1767",2002-07-01,"Australia's North West","Western Australia","Visiting",27.4541223
"1768",2002-10-01,"Australia's North West","Western Australia","Visiting",10.8999428
"1769",2003-01-01,"Australia's North West","Western Australia","Visiting",20.9843952
"1770",2003-04-01,"Australia's North West","Western Australia","Visiting",4.2788293
"1771",2003-07-01,"Australia's North West","Western Australia","Visiting",29.874896
"1772",2003-10-01,"Australia's North West","Western Australia","Visiting",27.5100618
"1773",2004-01-01,"Australia's North West","Western Australia","Visiting",15.9461762
"1774",2004-04-01,"Australia's North West","Western Australia","Visiting",8.8512565
"1775",2004-07-01,"Australia's North West","Western Australia","Visiting",19.5751307
"1776",2004-10-01,"Australia's North West","Western Australia","Visiting",17.1937976
"1777",2005-01-01,"Australia's North West","Western Australia","Visiting",8.9873562
"1778",2005-04-01,"Australia's North West","Western Australia","Visiting",18.90543
"1779",2005-07-01,"Australia's North West","Western Australia","Visiting",15.0749139
"1780",2005-10-01,"Australia's North West","Western Australia","Visiting",10.0858192
"1781",2006-01-01,"Australia's North West","Western Australia","Visiting",17.983795
"1782",2006-04-01,"Australia's North West","Western Australia","Visiting",17.376743
"1783",2006-07-01,"Australia's North West","Western Australia","Visiting",29.685496
"1784",2006-10-01,"Australia's North West","Western Australia","Visiting",23.680721
"1785",2007-01-01,"Australia's North West","Western Australia","Visiting",12.4138558
"1786",2007-04-01,"Australia's North West","Western Australia","Visiting",15.1693139
"1787",2007-07-01,"Australia's North West","Western Australia","Visiting",11.5361182
"1788",2007-10-01,"Australia's North West","Western Australia","Visiting",13.0483573
"1789",2008-01-01,"Australia's North West","Western Australia","Visiting",3.7655651
"1790",2008-04-01,"Australia's North West","Western Australia","Visiting",15.4405775
"1791",2008-07-01,"Australia's North West","Western Australia","Visiting",26.6777694
"1792",2008-10-01,"Australia's North West","Western Australia","Visiting",20.6143898
"1793",2009-01-01,"Australia's North West","Western Australia","Visiting",3.0527937
"1794",2009-04-01,"Australia's North West","Western Australia","Visiting",5.1580398
"1795",2009-07-01,"Australia's North West","Western Australia","Visiting",27.1330447
"1796",2009-10-01,"Australia's North West","Western Australia","Visiting",8.7384343
"1797",2010-01-01,"Australia's North West","Western Australia","Visiting",2.032679
"1798",2010-04-01,"Australia's North West","Western Australia","Visiting",15.4166233
"1799",2010-07-01,"Australia's North West","Western Australia","Visiting",22.1355493
"1800",2010-10-01,"Australia's North West","Western Australia","Visiting",12.3298802
"1801",2011-01-01,"Australia's North West","Western Australia","Visiting",6.9343493
"1802",2011-04-01,"Australia's North West","Western Australia","Visiting",22.8524849
"1803",2011-07-01,"Australia's North West","Western Australia","Visiting",16.8003812
"1804",2011-10-01,"Australia's North West","Western Australia","Visiting",19.2686979
"1805",2012-01-01,"Australia's North West","Western Australia","Visiting",6.8795913
"1806",2012-04-01,"Australia's North West","Western Australia","Visiting",25.8732519
"1807",2012-07-01,"Australia's North West","Western Australia","Visiting",15.7763574
"1808",2012-10-01,"Australia's North West","Western Australia","Visiting",8.8431425
"1809",2013-01-01,"Australia's North West","Western Australia","Visiting",7.5165788
"1810",2013-04-01,"Australia's North West","Western Australia","Visiting",15.7837713
"1811",2013-07-01,"Australia's North West","Western Australia","Visiting",19.4501793
"1812",2013-10-01,"Australia's North West","Western Australia","Visiting",10.8194879
"1813",2014-01-01,"Australia's North West","Western Australia","Visiting",7.1046567
"1814",2014-04-01,"Australia's North West","Western Australia","Visiting",14.7846219
"1815",2014-07-01,"Australia's North West","Western Australia","Visiting",30.5418948
"1816",2014-10-01,"Australia's North West","Western Australia","Visiting",29.1071696
"1817",2015-01-01,"Australia's North West","Western Australia","Visiting",21.7646131
"1818",2015-04-01,"Australia's North West","Western Australia","Visiting",12.2550577
"1819",2015-07-01,"Australia's North West","Western Australia","Visiting",37.7397149
"1820",2015-10-01,"Australia's North West","Western Australia","Visiting",44.4037873
"1821",2016-01-01,"Australia's North West","Western Australia","Visiting",18.7275009
"1822",2016-04-01,"Australia's North West","Western Australia","Visiting",25.9273487
"1823",2016-07-01,"Australia's North West","Western Australia","Visiting",23.007147
"1824",2016-10-01,"Australia's North West","Western Australia","Visiting",19.9979235
"1825",1998-01-01,"Australia's South West","Western Australia","Business",74.8027506
"1826",1998-04-01,"Australia's South West","Western Australia","Business",67.214746
"1827",1998-07-01,"Australia's South West","Western Australia","Business",51.9963927
"1828",1998-10-01,"Australia's South West","Western Australia","Business",53.236822
"1829",1999-01-01,"Australia's South West","Western Australia","Business",50.8910719
"1830",1999-04-01,"Australia's South West","Western Australia","Business",45.554866
"1831",1999-07-01,"Australia's South West","Western Australia","Business",73.7091267
"1832",1999-10-01,"Australia's South West","Western Australia","Business",79.5551524
"1833",2000-01-01,"Australia's South West","Western Australia","Business",24.1582155
"1834",2000-04-01,"Australia's South West","Western Australia","Business",37.3528958
"1835",2000-07-01,"Australia's South West","Western Australia","Business",66.54172
"1836",2000-10-01,"Australia's South West","Western Australia","Business",73.0633301
"1837",2001-01-01,"Australia's South West","Western Australia","Business",28.5260433
"1838",2001-04-01,"Australia's South West","Western Australia","Business",41.758635
"1839",2001-07-01,"Australia's South West","Western Australia","Business",88.20392
"1840",2001-10-01,"Australia's South West","Western Australia","Business",53.074265
"1841",2002-01-01,"Australia's South West","Western Australia","Business",38.577272
"1842",2002-04-01,"Australia's South West","Western Australia","Business",57.9120102
"1843",2002-07-01,"Australia's South West","Western Australia","Business",70.9466448
"1844",2002-10-01,"Australia's South West","Western Australia","Business",58.5891655
"1845",2003-01-01,"Australia's South West","Western Australia","Business",29.2287
"1846",2003-04-01,"Australia's South West","Western Australia","Business",52.2271035
"1847",2003-07-01,"Australia's South West","Western Australia","Business",71.2733718
"1848",2003-10-01,"Australia's South West","Western Australia","Business",73.5187406
"1849",2004-01-01,"Australia's South West","Western Australia","Business",42.7181537
"1850",2004-04-01,"Australia's South West","Western Australia","Business",58.0417541
"1851",2004-07-01,"Australia's South West","Western Australia","Business",62.2826371
"1852",2004-10-01,"Australia's South West","Western Australia","Business",44.8552079
"1853",2005-01-01,"Australia's South West","Western Australia","Business",42.9166815
"1854",2005-04-01,"Australia's South West","Western Australia","Business",40.4669311
"1855",2005-07-01,"Australia's South West","Western Australia","Business",50.5483103
"1856",2005-10-01,"Australia's South West","Western Australia","Business",77.7101841
"1857",2006-01-01,"Australia's South West","Western Australia","Business",30.471018
"1858",2006-04-01,"Australia's South West","Western Australia","Business",63.379351
"1859",2006-07-01,"Australia's South West","Western Australia","Business",53.402826
"1860",2006-10-01,"Australia's South West","Western Australia","Business",38.859558
"1861",2007-01-01,"Australia's South West","Western Australia","Business",34.9904731
"1862",2007-04-01,"Australia's South West","Western Australia","Business",54.6866157
"1863",2007-07-01,"Australia's South West","Western Australia","Business",40.7819733
"1864",2007-10-01,"Australia's South West","Western Australia","Business",51.924371
"1865",2008-01-01,"Australia's South West","Western Australia","Business",37.2331343
"1866",2008-04-01,"Australia's South West","Western Australia","Business",45.2473202
"1867",2008-07-01,"Australia's South West","Western Australia","Business",40.5106044
"1868",2008-10-01,"Australia's South West","Western Australia","Business",34.3762154
"1869",2009-01-01,"Australia's South West","Western Australia","Business",29.5049112
"1870",2009-04-01,"Australia's South West","Western Australia","Business",48.8764093
"1871",2009-07-01,"Australia's South West","Western Australia","Business",27.7372612
"1872",2009-10-01,"Australia's South West","Western Australia","Business",39.985202
"1873",2010-01-01,"Australia's South West","Western Australia","Business",32.6406946
"1874",2010-04-01,"Australia's South West","Western Australia","Business",41.1085973
"1875",2010-07-01,"Australia's South West","Western Australia","Business",38.168844
"1876",2010-10-01,"Australia's South West","Western Australia","Business",37.5760027
"1877",2011-01-01,"Australia's South West","Western Australia","Business",20.7864907
"1878",2011-04-01,"Australia's South West","Western Australia","Business",39.6422265
"1879",2011-07-01,"Australia's South West","Western Australia","Business",53.1661119
"1880",2011-10-01,"Australia's South West","Western Australia","Business",66.5865206
"1881",2012-01-01,"Australia's South West","Western Australia","Business",62.0832025
"1882",2012-04-01,"Australia's South West","Western Australia","Business",50.7631467
"1883",2012-07-01,"Australia's South West","Western Australia","Business",18.9179533
"1884",2012-10-01,"Australia's South West","Western Australia","Business",62.2177718
"1885",2013-01-01,"Australia's South West","Western Australia","Business",19.7080437
"1886",2013-04-01,"Australia's South West","Western Australia","Business",30.8339962
"1887",2013-07-01,"Australia's South West","Western Australia","Business",47.2582054
"1888",2013-10-01,"Australia's South West","Western Australia","Business",26.4401648
"1889",2014-01-01,"Australia's South West","Western Australia","Business",41.0696824
"1890",2014-04-01,"Australia's South West","Western Australia","Business",50.1328423
"1891",2014-07-01,"Australia's South West","Western Australia","Business",52.48666
"1892",2014-10-01,"Australia's South West","Western Australia","Business",70.3604381
"1893",2015-01-01,"Australia's South West","Western Australia","Business",22.6657936
"1894",2015-04-01,"Australia's South West","Western Australia","Business",27.516319
"1895",2015-07-01,"Australia's South West","Western Australia","Business",53.8055844
"1896",2015-10-01,"Australia's South West","Western Australia","Business",77.1846518
"1897",2016-01-01,"Australia's South West","Western Australia","Business",80.5642951
"1898",2016-04-01,"Australia's South West","Western Australia","Business",66.3444567
"1899",2016-07-01,"Australia's South West","Western Australia","Business",89.7091712
"1900",2016-10-01,"Australia's South West","Western Australia","Business",90.8476693
"1901",1998-01-01,"Australia's South West","Western Australia","Holiday",279.7357484
"1902",1998-04-01,"Australia's South West","Western Australia","Holiday",229.7009702
"1903",1998-07-01,"Australia's South West","Western Australia","Holiday",199.8393424
"1904",1998-10-01,"Australia's South West","Western Australia","Holiday",250.2118931
"1905",1999-01-01,"Australia's South West","Western Australia","Holiday",373.3317551
"1906",1999-04-01,"Australia's South West","Western Australia","Holiday",255.103406
"1907",1999-07-01,"Australia's South West","Western Australia","Holiday",196.9479173
"1908",1999-10-01,"Australia's South West","Western Australia","Holiday",272.270463
"1909",2000-01-01,"Australia's South West","Western Australia","Holiday",340.2253079
"1910",2000-04-01,"Australia's South West","Western Australia","Holiday",383.7844236
"1911",2000-07-01,"Australia's South West","Western Australia","Holiday",224.7756669
"1912",2000-10-01,"Australia's South West","Western Australia","Holiday",251.2376828
"1913",2001-01-01,"Australia's South West","Western Australia","Holiday",273.5865371
"1914",2001-04-01,"Australia's South West","Western Australia","Holiday",290.7658123
"1915",2001-07-01,"Australia's South West","Western Australia","Holiday",195.438426
"1916",2001-10-01,"Australia's South West","Western Australia","Holiday",287.1265778
"1917",2002-01-01,"Australia's South West","Western Australia","Holiday",388.0544374
"1918",2002-04-01,"Australia's South West","Western Australia","Holiday",267.7015352
"1919",2002-07-01,"Australia's South West","Western Australia","Holiday",270.1991147
"1920",2002-10-01,"Australia's South West","Western Australia","Holiday",217.255704
"1921",2003-01-01,"Australia's South West","Western Australia","Holiday",362.3480528
"1922",2003-04-01,"Australia's South West","Western Australia","Holiday",263.7537667
"1923",2003-07-01,"Australia's South West","Western Australia","Holiday",261.5023145
"1924",2003-10-01,"Australia's South West","Western Australia","Holiday",304.5411134
"1925",2004-01-01,"Australia's South West","Western Australia","Holiday",422.2641543
"1926",2004-04-01,"Australia's South West","Western Australia","Holiday",286.7164142
"1927",2004-07-01,"Australia's South West","Western Australia","Holiday",220.6763435
"1928",2004-10-01,"Australia's South West","Western Australia","Holiday",305.2924991
"1929",2005-01-01,"Australia's South West","Western Australia","Holiday",400.5836704
"1930",2005-04-01,"Australia's South West","Western Australia","Holiday",250.1548815
"1931",2005-07-01,"Australia's South West","Western Australia","Holiday",173.8357581
"1932",2005-10-01,"Australia's South West","Western Australia","Holiday",255.1557568
"1933",2006-01-01,"Australia's South West","Western Australia","Holiday",401.433719
"1934",2006-04-01,"Australia's South West","Western Australia","Holiday",283.267351
"1935",2006-07-01,"Australia's South West","Western Australia","Holiday",200.362603
"1936",2006-10-01,"Australia's South West","Western Australia","Holiday",276.044057
"1937",2007-01-01,"Australia's South West","Western Australia","Holiday",408.7874949
"1938",2007-04-01,"Australia's South West","Western Australia","Holiday",264.4169408
"1939",2007-07-01,"Australia's South West","Western Australia","Holiday",218.7806744
"1940",2007-10-01,"Australia's South West","Western Australia","Holiday",280.9459575
"1941",2008-01-01,"Australia's South West","Western Australia","Holiday",424.8375325
"1942",2008-04-01,"Australia's South West","Western Australia","Holiday",258.935964
"1943",2008-07-01,"Australia's South West","Western Australia","Holiday",246.5790057
"1944",2008-10-01,"Australia's South West","Western Australia","Holiday",236.2569921
"1945",2009-01-01,"Australia's South West","Western Australia","Holiday",341.8094429
"1946",2009-04-01,"Australia's South West","Western Australia","Holiday",267.7926268
"1947",2009-07-01,"Australia's South West","Western Australia","Holiday",196.1328916
"1948",2009-10-01,"Australia's South West","Western Australia","Holiday",210.1909038
"1949",2010-01-01,"Australia's South West","Western Australia","Holiday",297.9423745
"1950",2010-04-01,"Australia's South West","Western Australia","Holiday",252.6299398
"1951",2010-07-01,"Australia's South West","Western Australia","Holiday",168.6295966
"1952",2010-10-01,"Australia's South West","Western Australia","Holiday",237.2254705
"1953",2011-01-01,"Australia's South West","Western Australia","Holiday",351.7277231
"1954",2011-04-01,"Australia's South West","Western Australia","Holiday",297.0843014
"1955",2011-07-01,"Australia's South West","Western Australia","Holiday",178.8024595
"1956",2011-10-01,"Australia's South West","Western Australia","Holiday",280.4616898
